line,x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
0,-1.245,0.712,-0.053,28.445,-3.049,-303.354
1,-1.256,0.954,-0.156,31.402,80.884,-281.707
2,-1.557,1.209,-0.18,29.512,153.354,-258.811
3,-2.062,1.375,-0.245,23.079,175.579,-234.207
4,-2.382,1.53,-0.388,24.36,135.244,-201.738
5,-2.222,1.785,-0.585,30.976,74.817,-154.787
6,-1.85,1.984,-0.787,19.421,41.768,-102.287
7,-1.571,2.006,-0.945,-6.86,53.14,-56.098
8,-1.545,1.996,-0.992,-33.354,82.896,-14.543
9,-1.671,1.909,-0.99,-65.762,103.14,21.585
10,-1.834,1.77,-0.968,-102.713,93.262,52.866
11,-2.018,1.614,-0.931,-138.262,56.037,81.982
12,-2.125,1.448,-0.93,-166.982,5.396,110.61
13,-2.222,1.221,-0.881,-191.829,-40.091,140.335
14,-2.338,0.935,-0.851,-211.463,-56.921,169.787
15,-2.442,0.65,-0.864,-224.177,-40.091,200.183
16,-2.608,0.423,-0.889,-229.482,-6.951,230.457
17,-2.952,0.32,-1.015,-228.232,26.28,263.049
18,-3.475,0.246,-1.122,-235.366,56.311,292.561
19,-3.98,0.062,-1.243,-249.97,64.329,317.896
20,-4.319,-0.2,-1.36,-259.238,32.683,346.799
21,-4.384,-0.511,-1.445,-260.396,-9.604,381.098
22,-4.198,-0.788,-1.505,-251.311,-36.22,415.549
23,-3.949,-1.019,-1.512,-241.402,-37.774,446.616
24,-3.711,-1.204,-1.351,-238.262,-21.22,472.5
25,-3.327,-1.38,-1.108,-236.616,-11.86,488.841
26,-2.706,-1.537,-0.889,-229.756,-24.848,496.89
27,-1.738,-1.629,-0.794,-216.524,-39.756,491.128
28,-0.582,-1.708,-0.993,-201.128,-42.53,462.744
29,0.461,-1.807,-1.093,-182.195,-13.963,412.287
30,1.21,-1.861,-0.801,-155.762,63.232,334.116
31,1.453,-1.908,-0.356,-141.098,134.543,223.78
32,1.13,-2.132,0.133,-148.841,114.268,114.604
33,0.85,-2.568,0.576,-165.945,5.122,26.677
34,0.863,-2.995,0.616,-177.652,-136.707,-50.762
35,1.221,-3.211,0.39,-164.543,-218.293,-116.89
36,1.559,-3.208,0.428,-115.518,-175.061,-168.018
37,1.181,-2.983,0.755,-46.067,-37.622,-201.28
38,0.219,-2.586,0.962,24.787,90.396,-215.945
39,-0.647,-2.144,0.811,88.415,127.713,-218.689
40,-1.094,-1.648,0.47,146.585,95.183,-219.085
41,-1.219,-1.117,0.031,199.39,54.024,-222.896
42,-1.25,-0.606,-0.438,239.329,46.585,-227.957
43,-1.393,-0.117,-0.831,263.354,78.537,-228.933
44,-1.733,0.41,-1.15,274.451,118.994,-219.97
45,-2.175,1.016,-1.31,271.28,133.476,-193.78
46,-2.504,1.668,-1.323,252.104,113.018,-155.793
47,-2.603,2.202,-1.251,209.299,70.305,-121.006
48,-2.602,2.508,-1.112,149.604,21.768,-97.835
49,-2.639,2.615,-0.945,90.854,-24.39,-75.823
50,-2.706,2.586,-0.75,43.476,-68.963,-44.085
51,-2.667,2.517,-0.535,9.482,-102.47,-5.64
52,-2.533,2.406,-0.286,-13.689,-120.305,36.067
53,-2.464,2.248,-0.109,-26.86,-124.055,78.11
54,-2.427,2.046,-0.001,-35.122,-117.866,119.421
55,-2.314,1.82,0.057,-41.86,-113.872,158.78
56,-2.228,1.567,0.024,-48.994,-118.963,193.232
57,-2.164,1.329,-0.082,-57.561,-132.866,222.378
58,-1.932,1.071,-0.211,-66.037,-150.579,245.213
59,-1.615,0.842,-0.304,-68.75,-163.659,264.024
60,-1.325,0.659,-0.352,-68.354,-161.524,277.47
61,-1.074,0.508,-0.34,-69.909,-150.915,283.872
62,-0.806,0.267,-0.297,-72.317,-147.287,284.268
63,-0.521,0.039,-0.288,-69.299,-153.293,278.079
64,-0.211,-0.097,-0.305,-64.146,-157.683,262.683
65,0.115,-0.195,-0.348,-59.909,-161.067,234.848
66,0.415,-0.321,-0.323,-56.006,-164.238,196.28
67,0.747,-0.478,-0.275,-50,-157.652,151.372
68,1.064,-0.69,-0.223,-45.305,-143.171,100.701
69,1.226,-0.938,-0.144,-41.189,-123.415,44.756
70,1.144,-1.073,-0.036,-30.579,-101.585,-13.994
71,0.968,-1.042,0.012,-20.213,-77.5,-70.396
72,0.77,-0.987,0.022,-16.555,-57.896,-121.128
